subject,question,difficulty,answer,explanation
Physics,A new unit (a) of length is chosen such that it is equal to the speed of light in vacuum. What is the distance between Venus and Earth in terms of a units if light takes 6 min. 40 s to cover this distance? (1) 200 a (2) 400 a (3) 300 a (4) 500 a,medium,(2) 400 a,"The time taken is 6 min 40 s, which is 400 seconds. Since the unit 'a' is equal to the speed of light, Distance = speed * time = a * 400 = 400 a."
Physics,"Consider the equation $H = \frac{x^p \epsilon^q E^r}{t^s}$. Where H = magnetic field intensity; E = electric field; \epsilon = permittivity, x = distance, t = time. The values of p, q, r and s respectively are: (1) 1, 1, 1, 1 (2) -1, 1, 2, 1 (3) 1, -1, -2, 1 (4) -1, -2, -2, 1",hard,"(1) 1, 1, 1, 1","By dimensional analysis, [H] = M L^-1 T^-2. Equating dimensions of H with the right-hand side of the equation yields p=1, q=1, r=1, s=1."
Physics,A car moving with a speed of 54 km/h takes a turn of radius 20 m. A simple pendulum is suspended from the ceiling of the car. Determine the angle made by the string of the pendulum with the vertical during the turning. (Take g = 10 m/s^2) (1) tan^-1(0.5) (2) tan^-1(0.75) (3) tan^-1(1.125) (4) tan^-1(0.25),medium,(3) tan^-1(1.125),"The speed v = 54 km/h = 15 m/s. The angle is given by $\tan\theta = \frac{v^2}{rg} = \frac{225}{20 \times 10} = 1.125$. Thus, $\theta = \tan^{-1}(1.125)$."
Physics,"A gas balloon is going up with a constant velocity of 10 m/s. When this balloon reached a height of 75 m, a stone is dropped from it and balloon keeps moving up with the same velocity. The height of the balloon when the stone hits the ground is: (Take g = 10 m/s^2) (1) 85 m (2) 150 m (3) 129 m (4) 125 m",medium,(4) 125 m,"For the dropped stone: -75 = 10t - 0.5(10)t^2, which simplifies to t^2 - 2t - 15 = 0, giving t = 5 s. The balloon's height after 5 s is 75 + 10(5) = 125 m."
Physics,"A thin biconvex lens is prepared from the glass (\mu = 1.5) both curved surfaces of which have equal radii of 20 cm each. Left side surface of the lens is silvered from outside to make it reflecting. To have the position of image and object at the same place, the object should be placed, from the lens at a distance of: (1) 10 cm (2) 12.5 cm (3) 13 cm (4) 13.5 cm",hard,(1) 10 cm,"The focal length of the mirror part is -10 cm, and the lens part is 20 cm. Equivalent focal length $\frac{1}{f} = \frac{1}{f_m} - \frac{2}{f_L} = -\frac{1}{5}$, so f = -5 cm. To form an image at the object's position, it must be placed at the center of curvature u = 2f = 10 cm."
Physics,"Two identical bodies, projected with the same speed at two different angles cover the same horizontal range R. If the time of flight of these bodies are 5 s and 10 s, respectively, then the value of R is: (1) 250 (2) 25 (3) 500 (4) 125",medium,(1) 250,"For the same range, angles are complementary. T1 = 2u sin(\theta)/g = 10, T2 = 2u cos(\theta)/g = 5. Range R = 2(u sin\theta)(u cos\theta)/g = 2(50)(25)/10 = 250 m."
Physics,"A solid cylinder having radius R and length L is slipping on a rough horizontal plane. At time t=0 the cylinder has a translational velocity v0 = 49 m/s, perpendicular to its axis and a rotational velocity v0/4R about the centre. The time taken by the cylinder to start rolling is: (\mu_k = 0.25 and g = 9.8 m/s^2) (1) 15 s (2) 5 s (3) 10 s (4) 7.5 s",hard,(2) 5 s,Translational velocity v = v0 - \mu_k g t. Rotational velocity \omega = \omega_0 + (2\mu_k g t)/R. Pure rolling starts when v = R\omega. Solving gives t = v0 / (4\mu_k g) = 5 s.
Physics,"A liquid of density 600 kg/m^3 flowing steadily in a tube of varying cross-section. The cross-section at A is 1.0 cm^2 and that at B is 20 mm^2. Both points are in same horizontal plane, speed at A is 10 cm/s. The difference in pressures at A and B is: (1) 18 Pa (2) 144 Pa (3) 36 Pa (4) 72 Pa",medium,(4) 72 Pa,"Using continuity A1 V1 = A2 V2, V2 = 50 cm/s. By Bernoulli's principle, P1 - P2 = 0.5 \rho (V2^2 - V1^2) = 0.5 * 600 * (0.5^2 - 0.1^2) = 72 Pa."
Physics,A spherical liquid drop of radius R acquires the terminal velocity V1 when falls through a gas of viscosity \eta. Now the drop is broken into 64 identical droplets and each droplet acquires terminal velocity V2. The ratio of terminal velocities V1/V2 is: (1) 4 (2) 0.25 (3) 32 (4) 16,medium,(4) 16,"Volume conservation gives R1^3 = 64 R2^3, so R2 = R1/4. Since terminal velocity is proportional to R^2, V1/V2 = (R1/R2)^2 = 16."
Physics,One mole of diatomic gas having rotational modes only is kept is a cylinder with a piston system. The cross-section area is 4 cm^2. The gas is heated slowly to raise the temperature by 1.2 C during which the piston moves by 25 mm. The amount of heat supplied is: (1) 24.8 J (2) 25 J (3) 15.04 J (4) 29.98 J,hard,(2) 25 J,Q = \Delta U + W. Q = (f/2)nR\Delta T + P\Delta V. For a diatomic gas f=5. Q = 2.5(1)(8.3)(1.2) + 10^5(25e-3)(4e-4) = 25.9 J. 25 J is the closest matching option.
